weekly_score,monthly_score,tv_show_name,user_id,tv_show_id,last_action_timestamp,daily_score
100,100,Lost,75184478,73739,1782285108,100
100,100,Berserk,75184478,73752,1782849909,100
100,100,Bleach,75184478,74796,1738673424,100
100,100,Dragon Ball,75184478,76666,1703691252,100
100,100,Pokémon,75184478,76703,1706361886,100
100,100,Doctor Who (2005),75184478,78804,1748818158,100
35,35,Naruto,75184478,78857,1703227918,35
100,100,Baki the Grappler,75184478,79237,1769401371,100
100,100,Fighting Spirit,75184478,79685,1781751875,100
100,100,Dragon Ball Z,75184478,81472,1726009526,100
100,100,One Piece,75184478,81797,1782409197,100
100,100,Fullmetal Alchemist: Brotherhood,75184478,85249,1782976472,100
100,100,Fairy Tail,75184478,114801,1735652388,100
100,100,Game of Thrones,75184478,121361,1705475896,100
100,100,High School of the Dead,75184478,171591,1746950129,100
35,35,Sherlock,75184478,176941,1745567065,35
100,100,Freezing,75184478,219701,1781340172,100
100,100,The Future Diary,75184478,249827,1712364371,100
35,35,Black Mirror,75184478,253463,1745478772,35
100,100,Another,75184478,254349,1782958603,100
100,100,Kuroko's Basketball,75184478,257765,1751188609,100
70,70,Sword Art Online,75184478,259640,1772418874,70
100,100,Date A Live,75184478,264663,1750262104,100
100,100,Attack on Titan,75184478,267440,1704021676,100
100,100,Tonari no Seki-kun: The Master of Killing Time,75184478,275583,1781845111,100
35,35,Noragami,75184478,275610,1703228657,35
100,100,The Flash (2014),75184478,279121,1759183818,100
35,35,Tokyo Ghoul,75184478,281249,1707020078,35
100,100,Trinity Seven,75184478,283935,1748268931,100
100,100,Is It Wrong to Try to Pick Up Girls in a Dungeon?,75184478,289882,1736953831,100
100,100,Food Wars!,75184478,289909,1764264356,100
100,100,One-Punch Man,75184478,293088,1764256955,100
100,100,Prison School,75184478,293267,1768459276,100
100,100,Lucifer,75184478,295685,1732789234,100
100,100,My Hero Academia,75184478,305074,1767184268,100
100,100,Bungo Stray Dogs,75184478,305075,1731165103,100
100,100,"Re: ZERO, Starting Life in Another World",75184478,305089,1781861748,100
100,100,Stranger Things,75184478,305288,1767662722,100
100,100,Money Heist,75184478,327417,1752675091,100
100,100,Classroom of the Elite,75184478,329822,1782474645,100
100,100,Dark,75184478,334824,1729168433,100
100,100,Sword Art Online Alternative: Gun Gale Online,75184478,335815,1736869826,100
100,100,Beyblade Burst,75184478,339076,1706847329,100
70,70,Flames,75184478,342635,1703395943,70
100,100,Rascal Does Not Dream of Bunny Girl Senpai,75184478,345596,1756338251,100
100,100,Demon Slayer: Kimetsu no Yaiba,75184478,348545,1719505987,100
100,100,Baki (2018),75184478,348742,1767654183,100
100,100,That Time I Got Reincarnated as a Slime,75184478,352408,1782474644,100
100,100,The Rising of the Shield Hero,75184478,353712,1765678766,100
70,70,Kaguya-sama: Love Is War,75184478,354198,1732554529,70
35,35,Mirzapur,75184478,354808,1703230178,35
100,100,Fire Force,75184478,355480,1760204045,100
100,100,The Boys,75184478,355567,1726347778,100
100,100,Dr. STONE,75184478,355774,1782479450,100
100,100,The Quintessential Quintuplets,75184478,355966,1782249088,100
100,100,"Love, Death & Robots",75184478,357888,1769308555,100
100,100,Sword Art Online: Alicization,75184478,360534,1703227471,100
100,100,Loki,75184478,362472,1776299540,100
100,100,Kota Factory,75184478,362631,1721158160,100
100,100,The Witcher,75184478,362696,1708521708,100
100,100,What If…?,75184478,367147,1767252353,100
100,100,Uzumaki,75184478,369026,1729077170,100
100,100,Welcome to Demon School! Iruma-kun,75184478,369144,1782976471,100
100,100,Arcane,75184478,371028,1733744914,100
100,100,Mushoku Tensei: Jobless Reincarnation,75184478,371310,1724768222,100
100,100,Alice in Borderland (2020),75184478,376472,1759191655,100
100,100,Tower of God,75184478,376729,1760170031,100
100,100,JUJUTSU KAISEN,75184478,377543,1776350812,100
100,100,86: Eighty Six,75184478,378609,1782976471,100
70,70,Rent-a-Girlfriend,75184478,380654,1754847455,70
100,100,Squid Game,75184478,383275,1751348258,100
35,35,Cyberpunk: Edgerunners,75184478,384541,1755304317,35
100,100,Mismatched,75184478,385496,1738632197,100
100,100,SK8 the Infinity,75184478,388858,1769055781,100
100,100,Solo Leveling,75184478,389597,1743406191,100
100,100,ONE PIECE (2023),75184478,392276,1775394271,100
70,70,Tokyo Revengers,75184478,393478,1704042347,70
100,100,Record of Ragnarok,75184478,393810,1769443831,100
100,100,Wednesday,75184478,397060,1757228767,100
100,100,Hell's Paradise,75184478,402474,1777165407,100
100,100,Orient,75184478,402475,1761189160,100
100,100,My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!,75184478,402637,1755374930,100
100,100,Sunflower,75184478,403262,1732350173,100
35,35,Indori Ishq,75184478,404568,1707686104,35
35,35,Baki Hanma,75184478,406152,1745394275,35
100,100,The Eminence in Shadow,75184478,407520,1740503675,100
100,100,Aoashi,75184478,407840,1767990085,100
100,100,BLUE LOCK,75184478,408629,1735454828,100
100,100,Gods' Games We Play,75184478,414947,1716716322,100
100,100,Crushed,75184478,416705,1708455890,100
100,100,Spice and Wolf: MERCHANT MEETS THE WISE WOLF,75184478,417147,1781255542,100
100,100,Farming Life in Another World,75184478,418367,1782439785,100
100,100,Witch Hat Atelier,75184478,418666,1782439786,100
100,100,Oshi no Ko,75184478,421069,1721685056,100
35,35,MASHLE: MAGIC AND MUSCLES,75184478,421737,1703227506,35
100,100,Shangri-La Frontier,75184478,421855,1743974842,100
35,35,Dark Gathering,75184478,422090,1704015611,35
100,100,Kaiju No. 8,75184478,423075,1759213840,100
100,100,Delicious in Dungeon,75184478,423257,1777176399,100
100,100,SAKAMOTO DAYS,75184478,423732,1758595617,100
100,100,Frieren: Beyond Journey's End,75184478,424536,1777509592,100
100,100,Campfire Cooking in Another World with My Absurd Skill,75184478,426572,1766882392,100
100,100,Blue Box,75184478,429934,1768392384,100
100,100,The Apothecary Diaries,75184478,431162,1768048618,100
100,100,DAN DA DAN,75184478,432832,1760200973,100
35,35,Gutar Gu,75184478,433375,1729221446,35
70,70,A Knight of the Seven Kingdoms,75184478,433631,1772525155,70
100,100,Sentenced to Be a Hero,75184478,437266,1777176399,100
100,100,Chillin' in Another World With Level 2 Super Cheat Powers,75184478,440897,1765023264,100
100,100,Makeine: Too Many Losing Heroines!,75184478,443377,1728576803,100
100,100,Dehati Ladke,75184478,443412,1710737554,100
35,35,"Anyway, I'm Falling in Love with You.",75184478,446692,1771044430,35
100,100,Very Parivarik,75184478,447889,1748526874,100
100,100,Gachiakuta,75184478,450537,1769867475,100
100,100,The Fragrant Flower Blooms with Dignity,75184478,454524,1759469349,100
100,100,Ishq In The Air,75184478,454699,1732371758,100
100,100,Off Campus,75184478,455086,1782479450,100
100,100,The Beginning After the End,75184478,455684,1755321337,100
100,100,Takopi's Original Sin,75184478,457645,1767184270,100
100,100,To Be Hero X,75184478,459453,1761061195,100
35,35,Lord of Mysteries,75184478,464419,1782439794,35
100,100,Bhay: The Gaurav Tiwari Mystery,75184478,471423,1771454688,100
