updated_at,tv_show_name,user_id,tv_show_id,source,created_at
2023-12-22 06:39:23,Bleach,75184478,74796,onboarding,2023-12-22 06:39:23
2023-12-22 06:39:23,Pokémon,75184478,76703,onboarding,2023-12-22 06:39:23
2023-12-25 11:07:51,Code Geass: Lelouch of the Rebellion,75184478,79525,see-season,2023-12-25 11:07:51
2023-12-22 06:39:23,One Piece,75184478,81797,onboarding,2023-12-22 06:39:23
2023-12-22 07:05:34,Akame ga Kill!,75184478,280329,see-season,2023-12-22 07:05:34
2023-12-22 06:39:23,,75184478,284700,onboarding,2023-12-22 06:39:23
2023-12-22 07:26:42,One-Punch Man,75184478,293088,see-season,2023-12-22 07:26:42
2023-12-22 07:49:14,Overlord,75184478,294002,see-season,2023-12-22 07:49:14
2023-12-22 06:39:23,My Hero Academia,75184478,305074,onboarding,2023-12-22 06:39:23
2023-12-22 06:39:23,Stranger Things,75184478,305288,onboarding,2023-12-22 06:39:23
2023-12-22 06:39:23,Boruto: Naruto Next Generations,75184478,321285,onboarding,2023-12-22 06:39:23
2023-12-22 06:39:23,Classroom of the Elite,75184478,329822,onboarding,2023-12-22 06:39:23
2023-12-22 06:39:23,Demon Slayer: Kimetsu no Yaiba,75184478,348545,onboarding,2023-12-22 06:39:23
2023-12-22 07:17:57,The Rising of the Shield Hero,75184478,353712,see-season,2023-12-22 07:17:57
2023-12-22 06:39:23,Dr. STONE,75184478,355774,onboarding,2023-12-22 06:39:23
2023-12-22 10:38:05,What If…?,75184478,367147,see-episode,2023-12-22 10:38:05
2023-12-22 06:39:23,Mushoku Tensei: Jobless Reincarnation,75184478,371310,onboarding,2023-12-22 06:39:23
2023-12-22 06:39:23,JUJUTSU KAISEN,75184478,377543,onboarding,2023-12-22 06:39:23
2023-12-22 06:39:23,Tokyo Revengers,75184478,393478,onboarding,2023-12-22 06:39:23
2023-12-22 07:50:32,DOTA: Dragon's Blood,75184478,396983,see-season,2023-12-22 07:50:32
2023-12-22 06:39:23,Chainsaw Man,75184478,397934,onboarding,2023-12-22 06:39:23
2023-12-22 06:39:23,My Dress-Up Darling,75184478,401233,onboarding,2023-12-22 06:39:23
2023-12-22 07:26:26,Hell's Paradise,75184478,402474,see-season,2023-12-22 07:26:26
2023-12-22 06:39:23,SPY x FAMILY,75184478,405920,onboarding,2023-12-22 06:39:23
2023-12-22 06:39:23,BLUE LOCK,75184478,408629,onboarding,2023-12-22 06:39:23
2023-12-22 06:39:23,Lycoris Recoil,75184478,414057,onboarding,2023-12-22 06:39:23
2023-12-22 06:39:23,Oshi no Ko,75184478,421069,onboarding,2023-12-22 06:39:23
2023-12-22 06:39:23,MASHLE: MAGIC AND MUSCLES,75184478,421737,onboarding,2023-12-22 06:39:23
2023-12-22 06:39:23,Shangri-La Frontier,75184478,421855,onboarding,2023-12-22 06:39:23
2023-12-25 02:20:04,Dark Gathering,75184478,422090,see-season,2023-12-25 02:20:04
2023-12-22 07:31:53,The Girl I Like Forgot Her Glasses,75184478,429634,see-season,2023-12-22 07:31:53
