is_read,text,object_id,title,object_type,url,html_text,image,sound,data,type,badge,user_id,time,web_url,read,date,objects,badge_name
true,You have just unlocked the Marathoner badge!,74796-marathoner-3-within-24-bd,,badge,tvst://user/75184478/badges?badge_id=74796-marathoner-3-within-24-bd,You have just unlocked the Marathoner badge!,https://d1qhxojdkstxv7.cloudfront.net/74796/166931/new/marathon-0.png,notif.caf,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-gamification"",""loc-key"":""You have just unlocked the Marathoner badge!"",""notification_id"":""badge-unlocked"",""url"":""tvst://user/75184478/badges?badge_id=74796-marathoner-3-within-24-bd"",""web_url"":""https://www.tvtime.com/user/75184478/profile#tab-rewards""}",badge-unlocked,1,75184478,1703227312469,,,,,
true,You have just unlocked the Marathoner badge!,360534-marathoner-5-within-24-bd,,badge,tvst://user/75184478/badges?badge_id=360534-marathoner-5-within-24-bd,You have just unlocked the Marathoner badge!,https://d1qhxojdkstxv7.cloudfront.net/360534/1344734/new/marathon-1.png,notif.caf,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-gamification"",""loc-key"":""You have just unlocked the Marathoner badge!"",""notification_id"":""badge-unlocked"",""url"":""tvst://user/75184478/badges?badge_id=360534-marathoner-5-within-24-bd"",""web_url"":""https://www.tvtime.com/user/75184478/profile#tab-rewards""}",badge-unlocked,1,75184478,1703227365870,,,,,
true,You have just unlocked the Serial watcher badge!,serial-watcher-5-bd    ,,badge,tvst://user/75184478/badges?badge_id=serial-watcher-5-bd    ,You have just unlocked the Serial watcher badge!,https://d1qhxojdkstxv7.cloudfront.net/first-xp/serial-watcher-00.png,notif.caf,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-gamification"",""loc-key"":""You have just unlocked the Serial watcher badge!"",""notification_id"":""badge-unlocked"",""url"":""tvst://user/75184478/badges?badge_id=serial-watcher-5-bd    "",""web_url"":""https://www.tvtime.com/user/75184478/profile#tab-rewards""}",badge-unlocked,1,75184478,1703227365897,,,,,
true,You have just unlocked the Serial watcher badge!,serial-watcher-10-bd    ,,badge,tvst://user/75184478/badges?badge_id=serial-watcher-10-bd    ,You have just unlocked the Serial watcher badge!,https://d1qhxojdkstxv7.cloudfront.net/first-xp/serial-watcher-01.png,notif.caf,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-gamification"",""loc-key"":""You have just unlocked the Serial watcher badge!"",""notification_id"":""badge-unlocked"",""url"":""tvst://user/75184478/badges?badge_id=serial-watcher-10-bd    "",""web_url"":""https://www.tvtime.com/user/75184478/profile#tab-rewards""}",badge-unlocked,1,75184478,1703227459688,,,,,
true,You have just unlocked the Marathoner badge!,360534-marathoner-10-within-48-bd,,badge,tvst://user/75184478/badges?badge_id=360534-marathoner-10-within-48-bd,You have just unlocked the Marathoner badge!,https://d1qhxojdkstxv7.cloudfront.net/360534/1344734/new/marathon-2.png,notif.caf,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-gamification"",""loc-key"":""You have just unlocked the Marathoner badge!"",""notification_id"":""badge-unlocked"",""url"":""tvst://user/75184478/badges?badge_id=360534-marathoner-10-within-48-bd"",""web_url"":""https://www.tvtime.com/user/75184478/profile#tab-rewards""}",badge-unlocked,1,75184478,1703227459693,,,,,
true,You have just unlocked the Serial watcher badge!,serial-watcher-15-bd    ,,badge,tvst://user/75184478/badges?badge_id=serial-watcher-15-bd    ,You have just unlocked the Serial watcher badge!,https://d1qhxojdkstxv7.cloudfront.net/first-xp/serial-watcher-02.png,notif.caf,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-gamification"",""loc-key"":""You have just unlocked the Serial watcher badge!"",""notification_id"":""badge-unlocked"",""url"":""tvst://user/75184478/badges?badge_id=serial-watcher-15-bd    "",""web_url"":""https://www.tvtime.com/user/75184478/profile#tab-rewards""}",badge-unlocked,1,75184478,1703227481510,,,,,
true,You have just unlocked the Marathoner badge!,355774-marathoner-20-within-48-bd,,badge,tvst://user/75184478/badges?badge_id=355774-marathoner-20-within-48-bd,You have just unlocked the Marathoner badge!,https://d1qhxojdkstxv7.cloudfront.net/355774/62597874/new/marathon-3.png,notif.caf,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-gamification"",""loc-key"":""You have just unlocked the Marathoner badge!"",""notification_id"":""badge-unlocked"",""url"":""tvst://user/75184478/badges?badge_id=355774-marathoner-20-within-48-bd"",""web_url"":""https://www.tvtime.com/user/75184478/profile#tab-rewards""}",badge-unlocked,1,75184478,1703227493193,,,,,
true,You have just unlocked the Serial watcher badge!,serial-watcher-30-bd    ,,badge,tvst://user/75184478/badges?badge_id=serial-watcher-30-bd    ,You have just unlocked the Serial watcher badge!,https://d1qhxojdkstxv7.cloudfront.net/first-xp/serial-watcher-03.png,notif.caf,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-gamification"",""loc-key"":""You have just unlocked the Serial watcher badge!"",""notification_id"":""badge-unlocked"",""url"":""tvst://user/75184478/badges?badge_id=serial-watcher-30-bd    "",""web_url"":""https://www.tvtime.com/user/75184478/profile#tab-rewards""}",badge-unlocked,1,75184478,1703228224628,,,,,
true,uchiha_Mahesh followed you on TV Time,75187567,,user,tvst://profile/75187567,<a href='tvst://profile/75187567'>uchiha_Mahesh</a> followed you on TV Time,https://d1zfszn0v5ya99.cloudfront.net/user/75187567/profile_picture/65857f8555b2a_large.png,notif.caf,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-user-follow"",""loc-key"":""uchiha_Mahesh followed you on TV Time"",""notification_id"":""user-followed"",""url"":""tvst://profile/75187567"",""web_url"":""https://www.tvtime.com/profile/75187567""}",user-followed,1,75184478,1703247863264,,,,,
true,You have just unlocked the Marathoner badge!,76666-marathoner-3-within-24-bd,,badge,tvst://user/75184478/badges?badge_id=76666-marathoner-3-within-24-bd,You have just unlocked the Marathoner badge!,https://d1qhxojdkstxv7.cloudfront.net/76666/62061588/new/marathon-0.png,notif.caf,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-gamification"",""loc-key"":""You have just unlocked the Marathoner badge!"",""notification_id"":""badge-unlocked"",""url"":""tvst://user/75184478/badges?badge_id=76666-marathoner-3-within-24-bd"",""web_url"":""https://www.tvtime.com/user/75184478/profile#tab-rewards""}",badge-unlocked,1,75184478,1703320175358,,,,,
